ensemblGeneID	GeneSymbol	p1.shared_all_subcomp.1	p2.shared_all_subcomp.2	p3.shared_all_subcomp.3	p4.shared_all_subcomp.4	p5.shared_all_subcomp.5	p6.shared_all_subcomp.6	p7shared_all_subcomp.7	p8.shared_all_subcomp.8	p9.shared_all_subcomp.9	p10.shared_all_subcomp.10	p11.shared_all_subcomp.11	p12.shared_all_subcomp.12	p13.shared_all_subcomp.13	p14.shared_all_subcomp.14	p15.shared_all_subcomp.15	p16.shared_all_subcomp.16	p17.shared_all_subcomp.17	p18.shared_all_subcomp.18	p19.shared_all_subcomp.19	p20.shared_all_subcomp.20
ENSG00000172752	COL6A5	0.0001	0.0036	0.0005	0.0000	0.0000	0.0000	0.0000	0.0014	0.0055	0.0386	0.0000	0.0073	0.0075	0.0024	0.0000	0.0000	0.0086	0.0123	0.0125	0.0006
ENSG00000177943	MAMDC4	0.0001	0.0000	0.0010	0.0200	0.0000	0.0000	0.0041	0.0234	0.0000	0.1085	0.0001	0.0001	0.0000	0.0652	0.0000	0.0000	0.0598	0.0001	0.0140	0.0000
ENSG00000184544	DHRS7C	0.0001	0.0254	0.0000	0.0000	0.0028	0.0000	0.0001	0.0000	0.0054	0.0114	0.0000	0.0002	0.0000	0.0000	0.0132	0.0002	0.0000	0.0085	0.0000	0.0188
ENSG00000007968	E2F2	0.0001	0.0002	0.0006	0.0009	0.0000	0.0000	0.0000	0.0003	0.0000	0.0414	0.0000	0.0024	0.0000	0.0069	0.0000	0.0000	0.0082	0.0013	0.0044	0.0000
ENSG00000196090	PTPRT	0.0001	0.2475	0.1716	1.7285	0.6063	1.3437	0.0065	0.0269	0.0140	0.4980	0.0362	0.0328	0.8541	0.0009	1.0645	0.0112	0.0564	0.0127	0.1932	0.1395
ENSG00000140939	NOL3	0.0001	0.0533	0.0259	0.0220	0.0238	0.0023	0.0091	0.0785	0.0164	0.0816	0.0454	0.0592	0.0201	0.0027	0.0079	0.0057	0.0004	0.0350	0.0002	0.0381
ENSG00000125869	LAMP5	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.8529	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1952	0.0000	0.0000	0.2161	0.0000	0.0000	0.0000
ENSG00000007933	FMO3	0.0001	0.0000	0.0023	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0199	0.0000	0.0014	0.0000	0.0055	0.0000	0.0000	0.0050	0.0009	0.0001	0.0000
ENSG00000104901	DKKL1	0.0001	0.0016	0.0002	0.0008	0.0000	0.0006	0.0007	0.0006	0.0011	0.0214	0.0002	0.0003	0.0000	0.0007	0.0000	0.0000	0.0039	0.0068	0.0010	0.0000
ENSG00000150773	PIH1D2	0.0001	0.0166	0.0302	0.0056	0.0064	0.0086	0.0361	0.0576	0.0413	0.0379	0.0058	0.0281	0.0090	0.0059	0.0242	0.0287	0.0116	0.0513	0.0161	0.0605
