ensemblGeneID	GeneSymbol	p1.shared_all_subcomp.1	p2.shared_all_subcomp.2	p3.shared_all_subcomp.3	p4.shared_all_subcomp.4	p5.shared_all_subcomp.5	p6.shared_all_subcomp.6	p7shared_all_subcomp.7	p8.shared_all_subcomp.8	p9.shared_all_subcomp.9	p10.shared_all_subcomp.10	p11.shared_all_subcomp.11	p12.shared_all_subcomp.12	p13.shared_all_subcomp.13	p14.shared_all_subcomp.14	p15.shared_all_subcomp.15	p16.shared_all_subcomp.16	p17.shared_all_subcomp.17	p18.shared_all_subcomp.18	p19.shared_all_subcomp.19	p20.shared_all_subcomp.20
ENSG00000120549	KIAA1217	2.2892	0.0001	0.2113	0.0288	0.0303	0.0000	0.0486	0.5116	0.7534	0.0012	0.9646	0.1358	0.6037	0.4546	0.0000	0.5528	0.0538	0.0194	0.0018	0.0000
ENSG00000185532	PRKG1	1.9820	0.0320	0.0006	1.3679	0.0001	0.5686	0.2180	0.0318	0.0227	0.0246	0.0001	0.0710	0.1497	0.0171	0.0000	0.0003	0.4722	0.0017	0.0006	0.5534
ENSG00000058866	DGKG	1.8932	0.0115	0.0000	0.0000	0.1282	0.0000	0.5189	0.0000	0.2418	0.0030	0.0050	0.0000	0.2963	0.0004	0.0200	0.2439	0.0000	0.0149	0.0000	0.2317
ENSG00000134138	MEIS2	1.7390	0.0000	0.0000	0.0000	0.0000	0.0000	0.3294	0.0000	0.0558	0.0000	0.5180	0.0015	0.5296	0.0287	0.0000	0.0620	0.6229	0.0000	0.0000	0.0000
ENSG00000176204	LRRTM4	1.7056	0.4896	0.0306	0.3750	0.7250	0.6086	0.5618	0.0081	0.0470	0.0013	0.0091	0.1353	0.0000	0.0580	0.6847	2.1710	1.1783	0.3593	1.2524	0.1731
ENSG00000162599	NFIA	1.6680	0.0705	0.0000	0.0000	0.1889	0.0000	0.0000	0.0000	0.2353	0.0000	0.0000	0.0000	0.1827	0.0000	0.5750	0.3968	0.0000	0.0678	0.0000	0.2025
ENSG00000184347	SLIT3	1.6650	0.1905	0.0000	0.0000	0.0127	0.1440	0.8119	0.0001	0.0743	0.1935	0.0012	0.0039	0.2085	0.0007	0.1806	0.5067	0.0170	0.1799	0.0000	0.4883
ENSG00000113100	CDH9	1.6266	0.0140	0.0000	0.0000	0.0021	0.0028	1.3400	0.0000	0.0014	0.0000	0.0082	0.0009	0.6687	0.0008	0.9807	0.0287	0.2249	0.0006	0.0884	0.3976
ENSG00000175471	MCTP1	1.5296	0.2831	0.0018	0.0000	0.8576	0.2503	0.1546	0.0000	0.3776	0.0686	0.0000	0.0265	0.0523	0.0032	0.8275	0.7461	0.0141	0.4120	0.0035	0.7283
ENSG00000185008	ROBO2	1.5125	0.0188	0.0001	0.0009	0.4111	0.3860	0.5567	0.1907	0.7507	0.0742	0.0327	0.0021	1.1760	0.0005	0.0012	2.6514	0.2229	0.0054	0.0001	1.0892
ENSG00000133019	CHRM3	1.4673	0.1832	0.0816	0.7408	0.4558	0.7781	0.3649	0.0283	0.0053	0.1639	0.0282	0.1720	0.0000	0.3256	1.0422	0.8931	0.6320	0.3279	0.4080	0.1620
ENSG00000206052	DOK6	1.4086	0.2468	0.1134	0.0081	0.4940	0.7525	0.5421	0.0575	0.2090	0.0660	0.0288	0.0425	0.0721	0.0548	0.7312	0.1246	0.1781	0.3150	0.1149	0.3032
ENSG00000155052	CNTNAP5	1.3938	0.0331	0.0870	1.1409	0.0319	0.0105	0.0007	0.5738	0.5195	0.2396	0.1674	0.1493	0.2503	0.6368	0.0001	0.8989	1.0290	0.0269	0.9912	0.0002
ENSG00000152208	GRID2	1.3565	0.1075	0.0008	1.0227	0.0339	0.7946	0.8443	0.2579	0.0002	0.0150	0.0090	0.0037	0.0717	0.0005	0.0655	1.2482	0.0072	0.0209	0.0000	0.7474
ENSG00000154556	SORBS2	1.3159	0.0311	0.0438	0.5405	0.5026	0.0268	0.2829	0.0697	0.6155	0.2885	0.4946	0.0624	0.4625	0.3654	0.5298	0.3467	0.5530	0.0023	0.7865	0.4539
ENSG00000136895	GARNL3	1.3129	0.0091	0.0062	0.6362	0.0190	0.0055	0.0362	0.1854	0.4816	0.2149	0.2297	0.4473	0.5162	0.0228	0.0003	0.4183	0.8725	0.0640	0.0004	0.0457
ENSG00000206579	XKR4	1.3046	0.1041	0.0763	0.7670	0.2529	1.0326	0.2233	0.1939	0.5043	0.3894	0.0058	0.1358	0.6513	0.1829	0.1475	0.3366	0.2379	0.0681	0.2812	0.1937
ENSG00000156395	SORCS3	1.2559	0.2077	0.0024	0.0004	0.7221	0.9813	0.2923	0.0000	0.1947	0.0418	0.0116	0.3022	0.0011	0.2683	0.0082	0.5542	0.0227	0.4424	0.0429	0.0774
ENSG00000197442	MAP3K5	1.2382	0.0044	0.0508	0.6994	0.2071	0.0102	0.2345	0.0730	0.2419	0.0849	0.0251	0.2939	0.0001	0.3192	0.5163	0.2432	0.7438	0.0540	0.0009	0.1819
ENSG00000154229	PRKCA	1.2365	0.0056	0.2840	0.6979	0.0031	0.0002	0.4905	0.3926	0.0374	0.1450	0.7129	0.2827	0.1356	0.2714	0.0104	0.5648	0.3350	0.2009	0.0003	0.0197
ENSG00000218336	TENM3	1.2328	0.0755	0.0169	0.0000	0.0115	0.5040	0.0000	0.0440	0.0474	0.4391	0.0000	0.2162	0.0874	0.0481	0.1756	0.4029	0.0001	0.1134	0.0005	0.9358
ENSG00000169946	ZFPM2	1.2222	0.6058	0.0005	0.7785	0.6892	0.3040	0.5315	0.1292	0.0510	0.0001	0.0339	0.1315	0.0023	0.0607	0.2256	0.8929	0.5726	0.4509	0.3440	0.0756
ENSG00000170579	DLGAP1	1.2043	0.3156	0.3281	0.8195	1.0606	0.4826	0.3017	0.3975	0.0549	0.3863	0.7891	0.1537	0.5807	0.3936	0.5800	1.5516	0.4552	0.2085	0.7649	0.1464
ENSG00000100095	SEZ6L	1.1990	0.0717	0.2779	0.3519	0.2022	0.0984	0.2505	0.1608	0.2768	0.4553	0.4175	0.3156	0.2979	0.3888	0.1503	0.4729	0.1615	0.2041	0.3256	0.0299
ENSG00000157445	CACNA2D3	1.1916	0.3050	0.0816	0.8656	0.7570	0.4106	0.2390	0.3193	0.2287	0.3979	0.3677	0.4075	0.0780	0.4607	0.3807	1.1664	0.4378	0.2100	0.2872	0.1592
ENSG00000048540	LMO3	1.1878	0.0376	0.3641	0.5196	0.2568	0.3742	0.2480	0.2172	0.0366	0.0002	0.0742	0.1866	0.4217	0.3285	0.4047	0.4559	0.1897	0.0132	0.1894	0.5981
ENSG00000104447	TRPS1	1.1570	0.0016	0.0008	0.7240	0.0052	0.0026	0.1223	0.0018	0.0018	0.0159	0.1619	0.1262	0.0016	0.0137	0.3945	0.2482	0.0246	0.3108	0.0012	0.6567
ENSG00000147862	NFIB	1.1493	0.0900	0.0001	0.0000	0.0005	0.0112	0.0724	0.0004	0.6225	0.0009	0.0001	0.4274	0.4313	0.0027	0.0000	1.0538	1.2666	0.2047	0.0000	0.2188
ENSG00000186469	GNG2	1.1348	0.0357	0.0000	0.0000	0.0004	0.0000	0.4073	0.0000	0.0000	0.0232	0.0000	0.0020	0.0000	0.2339	0.7179	0.0004	0.0000	0.0018	0.0000	0.6297
ENSG00000188641	DPYD	1.1145	0.0859	0.0001	0.0004	0.1329	0.8504	0.6909	0.0003	0.2928	0.1561	0.0076	0.0010	0.1402	0.0041	0.7183	0.5046	0.1475	0.0414	0.2609	0.7804
ENSG00000153904	DDAH1	1.0972	0.1962	0.2760	0.1765	0.4168	0.5793	0.0246	0.0039	0.0296	0.0236	0.0015	0.3782	0.0112	0.1101	0.2306	0.5582	0.5452	0.5825	0.0063	0.1367
ENSG00000164506	STXBP5	1.0961	0.1057	0.2682	0.4324	0.5457	0.3335	0.3761	0.4369	0.3459	0.1860	0.1863	0.2074	0.3489	0.4973	0.6300	0.7238	0.2402	0.2089	0.6905	0.3423
ENSG00000198838	RYR3	1.0880	0.0343	0.0414	0.4623	0.1486	0.0588	0.0001	0.5533	1.1552	0.2604	0.0000	0.0011	0.0026	0.0054	0.0015	0.4193	0.2126	0.1015	0.0750	0.5515
ENSG00000177103	DSCAML1	1.0825	0.2779	0.0028	0.0000	0.3497	0.0528	0.0534	0.4867	0.3713	0.4552	0.2200	0.1812	0.4069	0.6851	0.0025	0.5640	0.0007	0.3617	0.0020	0.0148
ENSG00000144868	TMEM108	1.0813	0.0796	0.0007	0.3275	0.0163	0.4491	0.8159	0.2865	0.0103	0.1705	0.0280	0.0031	0.3689	0.0016	0.1270	0.8384	0.6351	0.0107	0.0014	0.6917
ENSG00000198216	CACNA1E	1.0736	0.1107	0.0393	0.2781	0.2841	0.1160	0.5193	0.0051	0.2979	0.2801	0.1098	0.1583	0.1698	0.3784	0.7464	0.1630	0.3230	0.2242	0.2951	0.3808
ENSG00000146147	MLIP	1.0703	0.2359	0.0678	0.0231	0.1534	0.4815	0.4578	0.0046	0.3383	0.0308	0.0173	0.0178	0.3195	0.0419	0.7115	0.2251	1.0568	0.0690	0.8623	0.2174
ENSG00000174482	LINGO2	1.0661	0.0246	0.1594	1.5793	0.3447	0.0771	0.6852	0.2155	0.1006	0.0037	0.5496	0.0305	1.2752	0.0576	1.0478	0.8624	0.9884	0.0048	0.6596	0.1767
ENSG00000150672	DLG2	1.0463	0.2162	0.2839	0.6986	1.4101	0.4652	0.2721	0.1977	0.4815	0.3237	1.1019	0.2049	0.6546	0.4590	0.8091	1.6521	0.5126	0.1184	0.7914	0.3298
ENSG00000112320	SOBP	1.0375	0.1418	0.1776	0.6254	0.4668	0.3333	0.2562	0.1659	0.2978	0.3198	0.2794	0.1566	0.2399	0.3474	0.3692	0.4562	0.3006	0.1346	0.3591	0.2976
ENSG00000172461	FUT9	1.0343	0.1786	0.3644	0.5985	0.5179	0.5550	0.2228	0.3668	0.1341	0.1228	0.1550	0.1144	0.7511	0.4831	0.3821	0.4708	0.2866	0.0700	0.6704	0.2400
ENSG00000120594	PLXDC2	1.0287	0.4471	0.0135	0.0001	0.7522	0.4798	0.3493	0.0000	0.1266	0.2818	0.0149	0.0083	0.2978	0.0906	0.9228	0.0002	0.0064	0.2206	0.2833	0.1419
ENSG00000169306	IL1RAPL1	1.0200	0.0407	0.1949	0.7526	0.4559	0.1314	0.4902	0.4106	0.0988	0.2027	0.9332	0.2738	0.8260	0.2694	0.7461	1.2763	0.5042	0.1751	0.6046	0.3270
ENSG00000164418	GRIK2	1.0158	0.5106	0.0388	0.0787	0.4057	0.7014	0.3273	0.4915	0.0719	0.1918	0.2123	0.2414	0.2202	0.2054	0.2105	1.5065	0.5617	0.2022	0.7638	0.5078
ENSG00000121904	CSMD2	1.0103	0.0075	0.0861	0.9340	0.1156	0.0032	0.2214	0.5967	0.0336	0.4243	0.6257	0.0263	0.3839	0.3277	0.2080	0.1808	0.2301	0.0209	0.1594	0.3122
ENSG00000153233	PTPRR	1.0045	0.1195	0.1643	0.2658	0.4108	0.6557	0.4007	0.4052	0.3056	0.2981	0.0691	0.2914	0.6945	0.6184	0.3543	0.1513	0.1336	0.0914	0.2286	0.2427
ENSG00000144724	PTPRG	0.9968	0.1279	0.1105	0.9259	0.4511	0.0625	0.1874	0.0146	0.6815	0.2655	0.3428	0.2694	0.3758	0.3182	0.7838	0.3905	0.8016	0.1468	0.2238	0.2182
ENSG00000183166	CALN1	0.9872	0.0748	0.0570	0.2964	0.6445	0.0101	0.3820	0.4567	0.2931	0.4779	0.0765	0.0752	0.0080	0.6932	0.3121	0.0177	0.0005	0.1020	0.0854	0.1202
ENSG00000078328	RBFOX1	0.9831	0.2393	0.4316	0.8054	1.9991	0.5456	0.6192	0.3350	0.0204	0.4327	1.1259	0.2825	0.9190	0.4208	0.3189	1.9133	0.3013	0.2275	0.7452	0.2518
ENSG00000237515	SHISA9	0.9824	0.1717	0.0132	0.4062	0.3212	0.6904	0.6944	0.0057	0.1466	0.4308	0.1567	0.0018	0.3484	0.1272	0.8131	0.0220	0.5010	0.0008	0.5384	0.2327
ENSG00000185737	NRG3	0.9820	0.0618	0.4458	1.0093	1.3910	0.6122	0.1374	0.2663	0.5465	0.1030	1.0748	0.0648	0.9222	0.3454	0.9667	1.5381	0.6121	0.1731	0.6706	0.2147
ENSG00000165995	CACNB2	0.9815	0.1599	0.1405	0.4733	0.5624	0.3080	0.6314	0.0405	0.4137	0.1214	0.3271	0.1793	0.0931	0.0591	0.6531	0.6869	0.4910	0.3724	0.7620	0.2121
ENSG00000113319	RASGRF2	0.9758	0.0011	0.0001	0.4979	0.0000	0.0000	1.0335	0.0325	0.0000	0.0734	0.0772	0.0209	0.0003	0.2822	0.0445	0.3561	0.6611	0.0001	0.0064	0.4837
ENSG00000171132	PRKCE	0.9661	0.1835	0.3339	0.3873	0.6028	0.5156	0.0804	0.4030	0.2858	0.4216	0.2248	0.3672	0.0570	0.4148	0.2033	0.9159	0.3074	0.3502	0.3096	0.1466
ENSG00000135919	SERPINE2	0.9586	0.0263	0.0004	0.0000	0.0000	0.0000	1.0562	0.0000	0.0000	0.0000	0.0003	0.2440	0.0000	0.0053	0.0000	0.0542	0.0147	0.0188	0.0000	0.0094
ENSG00000101333	PLCB4	0.9524	0.0044	0.0912	0.1812	0.3843	0.0001	0.2222	0.0122	0.4190	0.0014	0.0289	0.0268	0.0064	0.2640	0.0962	0.1083	0.4452	0.6747	0.0027	0.0498
ENSG00000166257	SCN3B	0.9468	0.5745	0.0001	0.0000	0.0000	0.1027	0.0664	0.0000	0.0548	0.3070	0.0000	0.0002	0.4437	0.0344	0.4148	0.0000	0.5504	0.0260	0.3703	0.7073
ENSG00000198797	BRINP2	0.9461	0.0205	0.1417	0.4419	0.0416	0.1143	0.2153	0.2191	0.0015	0.2646	0.0338	0.2098	0.0000	0.2661	0.6245	0.1675	0.5450	0.2797	0.0924	0.3162
ENSG00000154162	CDH12	0.9447	0.0698	0.2984	0.5934	0.6959	0.0918	0.6262	0.2873	0.0001	0.0371	0.3596	0.1508	0.0003	0.5067	2.1943	0.3339	0.2583	0.4600	0.6053	0.0246
ENSG00000185774	KCNIP4	0.9328	0.2295	0.3331	1.2673	1.8488	0.3240	0.8462	0.1700	0.0195	0.2959	0.0550	0.1950	0.0000	0.5668	1.1999	2.3633	0.5762	0.4558	1.1797	0.1223
ENSG00000140538	NTRK3	0.9247	0.0906	0.0555	0.4669	0.3377	0.1606	0.5910	0.0005	0.0485	0.0532	0.0025	0.0259	0.0000	0.1519	0.9436	0.6341	0.8538	0.5761	0.5936	0.1638
ENSG00000170558	CDH2	0.9241	0.1314	0.2715	0.7752	0.6641	0.2053	0.1543	0.0230	0.7002	0.0545	0.0051	0.1388	0.1678	0.1677	0.9691	0.2600	0.4266	0.2337	0.4010	0.3426
ENSG00000099139	PCSK5	0.9211	0.0004	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.4311	0.0207	0.0000	0.0000	0.0885	0.0000	0.0000	0.0376	0.0000	0.0018	0.0000	0.2440
ENSG00000182901	RGS7	0.9201	0.2057	0.4271	1.1015	1.0113	0.4844	0.5195	0.1872	0.3926	0.1443	0.4737	0.1380	0.9277	0.0855	0.4321	1.0564	0.8238	0.2588	0.7129	0.0334
ENSG00000179915	NRXN1	0.9142	0.0405	0.4367	0.9154	1.4736	0.4513	0.4500	0.3139	0.4823	0.1638	0.6546	0.1735	1.1282	0.4073	0.6879	1.6177	0.4780	0.1681	0.8846	0.2277
ENSG00000184672	RALYL	0.9008	0.3162	0.1361	1.0016	1.6238	0.4837	0.6038	0.2772	0.4669	0.1515	0.3468	0.2485	0.7537	0.3715	0.8501	1.4365	0.2305	0.2408	0.8786	0.1577
ENSG00000157680	DGKI	0.8995	0.2328	0.2084	0.7141	0.8925	0.3391	0.3000	0.3210	0.4633	0.2321	0.3063	0.1131	0.3385	0.4695	0.7195	0.6811	0.3031	0.2827	0.6128	0.1896
ENSG00000187672	ERC2	0.8992	0.1713	0.2306	0.9094	0.9299	0.4513	0.3643	0.2698	0.4189	0.4334	0.6292	0.2209	0.8324	0.3764	0.6961	0.6873	0.2529	0.1029	0.5022	0.2632
ENSG00000273079	GRIN2B	0.8942	0.2332	0.2006	0.7736	0.4024	0.3935	0.5780	0.2568	0.3039	0.2742	0.5133	0.1251	0.6176	0.3245	0.6845	0.8652	0.2600	0.1115	0.3576	0.3115
ENSG00000182168	UNC5C	0.8881	0.0661	0.1295	0.8596	0.3804	0.2653	0.0842	0.4105	0.0874	0.3017	0.2726	0.3604	0.1886	0.2814	1.0419	0.5256	0.0435	0.2150	0.1546	0.4476
ENSG00000139220	PPFIA2	0.8865	0.1856	0.1864	0.7198	0.6604	0.4705	0.6842	0.3262	0.2587	0.1629	0.5770	0.2357	0.5336	0.3648	0.8278	0.8469	0.2353	0.0976	0.8599	0.2260
ENSG00000166342	NETO1	0.8831	0.3000	0.1263	0.2344	0.8686	0.7020	0.4889	0.0005	0.4079	0.0468	0.1646	0.1955	0.0692	0.3182	0.5684	0.2778	0.2857	0.4264	0.1132	0.1834
ENSG00000127124	HIVEP3	0.8801	0.0358	0.0639	0.5462	0.2104	0.6557	0.3889	0.5044	0.3775	0.5454	0.1277	0.1925	0.5387	0.2396	0.4878	0.3139	0.1085	0.0910	0.1772	0.2381
ENSG00000198947	DMD	0.8797	0.4450	0.1328	0.0801	0.7773	0.7026	0.4810	0.1588	0.4736	0.2785	0.4917	0.1043	0.5596	0.1123	0.8412	1.3950	0.4395	0.2087	0.8274	0.3123
ENSG00000170921	TANC2	0.8793	0.1179	0.1414	0.5855	0.5253	0.1347	0.4987	0.1663	0.5169	0.2217	0.7819	0.2900	0.5048	0.4244	0.7583	0.8018	0.3027	0.1903	0.2180	0.2867
ENSG00000156103	MMP16	0.8726	0.2400	0.2118	0.5087	1.0003	0.4817	0.3544	0.0214	0.6305	0.1766	0.5970	0.2774	0.5078	0.0948	0.8749	0.2213	0.2535	0.1613	0.6309	0.2282
ENSG00000117154	IGSF21	0.8705	0.1349	0.1029	0.1648	0.0704	0.0092	0.0538	0.1956	0.0353	0.4184	0.0048	0.1551	0.0000	0.4425	0.4962	0.2161	0.2352	0.5281	0.1106	0.1197
ENSG00000154240	CEP112	0.8695	0.1453	0.1013	0.3000	0.1212	0.2173	0.1059	0.4819	0.3145	0.3547	0.2300	0.0663	0.2077	0.0059	0.4647	0.0865	0.2304	0.0763	0.4004	0.3129
ENSG00000138604	GLCE	0.8615	0.1183	0.0145	0.0003	0.2320	0.0570	0.0790	0.0022	0.0333	0.0147	0.0261	0.1005	0.1374	0.3105	0.2941	0.2221	0.4503	0.5550	0.0121	0.3259
ENSG00000169855	ROBO1	0.8583	0.0000	0.0000	0.0000	0.0102	0.0000	0.8330	0.3080	0.0038	0.0898	0.0863	0.0013	0.4100	0.0041	0.0035	0.9357	0.2837	0.0047	0.0000	0.9745
ENSG00000048740	CELF2	0.8573	0.1995	0.2977	0.9025	1.1162	0.2917	0.4870	0.2164	0.4045	0.2784	0.5325	0.1705	0.9262	0.3753	0.7310	1.3372	0.3989	0.1375	0.7909	0.1719
ENSG00000204442	FAM155A	0.8565	0.1277	0.3885	0.8611	1.4475	0.5344	0.5043	0.4087	0.5570	0.2030	0.7601	0.1759	0.8312	0.4327	0.6943	1.6246	0.2497	0.1271	0.7412	0.2403
ENSG00000168959	GRM5	0.8514	0.1123	0.2780	0.6773	0.7765	0.4810	0.3457	0.4409	0.4393	0.1935	0.5225	0.2069	0.7699	0.2868	0.8349	0.9548	0.5392	0.1092	0.4071	0.2529
ENSG00000172260	NEGR1	0.8494	0.0775	0.3650	1.0521	1.2335	0.5914	0.4111	0.3145	0.3656	0.1339	0.5541	0.2311	0.9082	0.4031	0.6620	1.2851	0.3255	0.1934	0.8553	0.2604
ENSG00000182197	EXT1	0.8483	0.3306	0.1072	0.3483	0.6253	0.7682	0.0411	0.4689	0.1077	0.2981	0.0608	0.2309	0.1347	0.3884	0.1883	0.5284	0.4033	0.4454	0.3456	0.0718
ENSG00000133401	PDZD2	0.8430	0.0104	0.0031	0.0017	0.0091	0.0003	1.0283	0.0783	0.0007	0.2578	0.3659	0.0686	0.0033	0.6145	0.8622	0.2901	0.5757	0.0344	0.0051	0.2324
ENSG00000134504	KCTD1	0.8383	0.0843	0.1823	0.2413	0.5938	0.1714	0.1832	0.0055	0.0943	0.1704	0.0529	0.2483	0.0001	0.5418	0.5938	0.6326	0.8508	0.6207	0.1676	0.1644
ENSG00000067798	NAV3	0.8364	0.3294	0.3267	0.7561	1.3101	0.3805	0.5443	0.2661	0.5663	0.3206	0.8708	0.2519	0.7330	0.0300	0.8316	0.9304	0.2600	0.1254	0.8105	0.1830
ENSG00000066248	NGEF	0.8349	0.2573	0.3630	0.0961	0.3363	0.3761	0.1118	0.0013	0.0656	0.3107	0.0128	0.2030	0.0013	0.4877	0.2483	0.1989	0.5388	0.3370	0.1875	0.0091
ENSG00000183023	SLC8A1	0.8285	0.1299	0.4057	0.3494	1.3397	0.3813	0.3098	0.6521	0.7057	0.1018	0.8040	0.2460	0.5811	0.5832	0.0812	1.1702	0.2086	0.1450	0.5672	0.0717
ENSG00000120251	GRIA2	0.8276	0.3088	0.2641	0.6013	0.7774	0.3552	0.5938	0.3743	0.3418	0.1383	0.4146	0.4203	0.5873	0.4848	0.7058	1.2405	0.4684	0.1783	0.9262	0.1053
ENSG00000155511	GRIA1	0.8260	0.4587	0.0003	0.0001	0.4128	0.7334	0.7047	0.0197	0.2149	0.4850	0.3111	0.0054	0.4821	0.1186	0.9306	0.4337	0.0748	0.1215	0.5705	0.3312
ENSG00000152402	GUCY1A2	0.8259	0.0210	0.1258	0.5343	0.4692	0.0135	0.7111	0.0306	0.4700	0.1154	0.3061	0.0026	0.4913	0.0379	0.8405	0.5031	0.0364	0.0427	0.3627	0.4841
ENSG00000160145	KALRN	0.8209	0.2124	0.3313	0.8337	1.0564	0.4206	0.4430	0.3300	0.4779	0.3392	0.5990	0.2779	0.5474	0.5497	0.6979	1.2700	0.4160	0.0739	0.6997	0.1504
ENSG00000153707	PTPRD	0.8174	0.1473	0.4148	1.3057	1.5630	0.4998	0.4625	0.3760	0.7316	0.2402	0.3911	0.2748	1.0086	0.3176	0.9272	1.7248	0.4921	0.1763	0.8781	0.0820
ENSG00000169398	PTK2	0.8147	0.2825	0.1316	0.4167	0.8711	0.3387	0.4413	0.4609	0.4138	0.3434	0.6595	0.1845	0.2697	0.2878	0.7472	0.6768	0.3420	0.1428	0.4643	0.2571
ENSG00000152061	RABGAP1L	0.8144	0.3116	0.1713	0.6843	1.0608	0.5775	0.4134	0.3392	0.1568	0.3501	0.5899	0.1897	0.4323	0.2132	0.3125	0.6123	0.2037	0.1825	0.4755	0.2482
ENSG00000183117	CSMD1	0.8112	0.1428	0.3099	1.1239	1.7632	0.2953	0.9723	0.2424	0.6001	0.2887	0.8453	0.2241	0.8613	0.5471	0.5872	1.7614	0.0979	0.1815	0.8120	0.2237
ENSG00000175267	VWA3A	0.8044	0.0031	0.0000	0.0004	0.0003	0.0000	0.0329	0.1270	0.0244	0.3005	0.0006	0.0156	0.0012	0.1054	0.0000	0.1882	0.2422	0.0039	0.0015	0.4084
ENSG00000169862	CTNND2	0.8011	0.2956	0.2201	0.7167	1.1230	0.4528	0.6295	0.3697	0.3978	0.3268	0.4567	0.2258	0.6406	0.1390	0.6813	1.0976	0.4371	0.1935	0.6676	0.1921
ENSG00000072110	ACTN1	0.8011	0.2030	0.0868	0.5369	0.0937	0.1882	0.3252	0.1701	0.0739	0.4071	0.0431	0.1563	0.0022	0.3116	0.1571	0.2126	0.2943	0.1628	0.2229	0.3319
ENSG00000095637	SORBS1	0.8003	0.1665	0.2192	0.2070	0.6161	0.1409	0.2157	0.5207	0.2272	0.3921	0.5259	0.2490	0.0377	0.6847	0.4606	0.8648	0.3131	0.3594	0.5487	0.1742
ENSG00000132424	PNISR	0.7977	0.3187	0.2070	0.6094	0.4855	0.0812	0.4201	0.5119	0.2891	0.4326	0.3404	0.4715	0.5254	0.1547	0.5921	0.1547	0.5069	0.1807	1.0654	0.2386
ENSG00000119866	BCL11A	0.7963	0.1602	0.4315	0.0641	0.3711	0.9136	0.2889	0.0928	0.2982	0.0366	0.1885	0.0747	0.6793	0.4025	0.2214	0.0841	0.3251	0.3559	0.3348	0.0010
ENSG00000153956	CACNA2D1	0.7957	0.0709	0.2592	0.6072	0.7298	0.2821	0.5417	0.3606	0.3459	0.1195	0.4489	0.2543	0.3729	0.3815	0.7986	0.5840	0.4246	0.1675	0.6798	0.1578
ENSG00000157985	AGAP1	0.7922	0.2277	0.1677	0.3513	0.7449	0.4798	0.2782	0.2953	0.3704	0.4857	0.4213	0.1324	0.2435	0.1518	0.3804	0.4117	0.4200	0.2276	0.1919	0.0699
ENSG00000131149	GSE1	0.7882	0.1082	0.0087	0.0460	0.0238	0.4873	0.1230	0.0010	0.0007	0.3474	0.0180	0.2632	0.0000	0.1250	0.2084	0.0318	0.1536	0.4330	0.0319	0.0037
ENSG00000136267	DGKB	0.7818	0.1077	0.0532	0.3977	0.2659	0.2470	0.7528	0.2571	0.3000	0.0638	0.7166	0.4687	0.4726	0.5299	0.6373	1.2236	0.5749	0.3344	0.0136	0.3671
ENSG00000070961	ATP2B1	0.7811	0.2149	0.4060	0.4092	0.8520	0.1743	0.4996	0.3426	0.4283	0.0856	0.1942	0.3526	0.6145	0.6448	0.7760	1.0448	0.3748	0.2323	0.8518	0.1729
ENSG00000152495	CAMK4	0.7780	0.1903	0.2972	0.4220	0.1443	0.4265	0.2388	0.0011	0.3773	0.1279	0.6553	0.1434	0.6166	0.1338	0.8070	0.0205	0.7959	0.1326	0.3323	0.1215
ENSG00000102780	DGKH	0.7770	0.0023	0.1054	0.6407	0.0738	0.0400	0.0010	0.3297	0.3649	0.2732	0.0030	0.0241	0.1393	0.0093	0.0888	0.2441	0.0032	0.0627	0.2609	0.6040
ENSG00000125675	GRIA3	0.7770	0.3844	0.2070	0.1005	0.5906	0.5227	0.3283	0.0970	0.2470	0.1414	0.0727	0.2879	0.2083	0.3178	0.3248	1.1847	0.7599	0.5126	0.4480	0.2382
ENSG00000172403	SYNPO2	0.7762	0.2678	0.1396	0.5360	0.3221	0.4108	0.0032	0.0176	0.3334	0.0310	0.0000	0.0412	0.0004	0.0018	0.2446	0.4346	0.0867	0.6273	0.0175	0.4697
ENSG00000152092	ASTN1	0.7738	0.2459	0.1893	0.5731	0.3949	0.3743	0.4181	0.4110	0.2430	0.3248	0.3866	0.0955	0.2058	0.2963	0.5737	0.2358	0.2946	0.1429	0.3272	0.2221
ENSG00000184226	PCDH9	0.7696	0.0802	0.3845	0.9295	1.9745	0.3507	0.6267	0.1729	0.6550	0.1145	0.4928	0.2490	0.9786	0.3540	1.1753	1.5600	0.4039	0.1428	0.8032	0.2322
ENSG00000145687	SSBP2	0.7683	0.2132	0.1456	0.5989	0.5424	0.1337	0.2189	0.5043	0.5536	0.1727	0.2937	0.2629	0.3735	0.4926	0.1921	0.5429	0.2200	0.1495	0.3443	0.2915
ENSG00000140836	ZFHX3	0.7659	0.0003	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.4836	0.0002	0.0000	0.0000	0.0806	0.0000	0.0000	0.0000	0.0000	0.1765	0.0000	0.0001
ENSG00000154027	AK5	0.7658	0.2880	0.0282	0.0021	0.3175	0.3316	0.5757	0.0001	0.4272	0.2399	0.3673	0.2277	0.6391	0.2483	1.1440	0.6250	0.3294	0.1838	0.2917	0.4193
ENSG00000048991	R3HDM1	0.7631	0.2852	0.2678	0.6770	0.7278	0.5895	0.4780	0.4162	0.2568	0.1587	0.6623	0.2947	0.2119	0.4028	0.6263	1.1699	0.6521	0.1363	0.8883	0.1662
